模型名,表名,字段名,字段类型,null,blank,default,choices,primary_key,unique,db_index,外键模型,on_delete,related_name,中文说明,开发注意事项
StudentContentAccess,entry_studentcontentaccess,is_open,BooleanField,False,False,False,,False,False,False,,,,是否开放,状态字段会影响页面展示和统计口径。
StudentContentAccess,entry_studentcontentaccess,granted_by,ForeignKey,True,True,,,False,False,True,PortalUser,SET_NULL,granted_content_accesses,granted by,
StudentContentAccess,entry_studentcontentaccess,granted_at,DateTimeField,True,True,,,False,False,False,,,,开放时间,
StudentContentAccess,entry_studentcontentaccess,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkAssignment,entry_homeworkassignment,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkAssignment,entry_homeworkassignment,teacher,ForeignKey,False,False,,,False,False,True,PortalUser,CASCADE,homework_assignments,teacher,权限隔离相关字段，查询时需带角色边界。
HomeworkAssignment,entry_homeworkassignment,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,homework_assignments,student,权限隔离相关字段，查询时需带角色边界。
HomeworkAssignment,entry_homeworkassignment,content,ForeignKey,False,False,,,False,False,True,CourseContent,CASCADE,homework_assignments,content,
HomeworkAssignment,entry_homeworkassignment,title,CharField,False,False,,,False,False,False,,,,作业标题,
HomeworkAssignment,entry_homeworkassignment,description,TextField,False,True,,,False,False,False,,,,作业说明,
HomeworkAssignment,entry_homeworkassignment,due_date,DateTimeField,False,False,,,False,False,False,,,,截止日期,
HomeworkAssignment,entry_homeworkassignment,status,CharField,False,False,'assigned',assigned:待完成；completed:已完成；reviewed:已评阅；cancelled:已取消,False,False,False,,,,状态,状态字段会影响页面展示和统计口径。
HomeworkAssignment,entry_homeworkassignment,teacher_comment,TextField,False,True,,,False,False,False,,,,教师评语,
HomeworkAssignment,entry_homeworkassignment,highlights,TextField,False,True,'',,False,False,False,,,,亮点表现,
HomeworkAssignment,entry_homeworkassignment,areas_for_growth,TextField,False,True,'',,False,False,False,,,,待提升点,
HomeworkAssignment,entry_homeworkassignment,summary,ForeignKey,True,True,,,False,False,True,HomeworkSummary,SET_NULL,assignments,summary,
HomeworkAssignment,entry_homeworkassignment,source_import_job,ForeignKey,True,True,,,False,False,True,HomeworkImportJob,SET_NULL,shared_assignments,source import job,
HomeworkAssignment,entry_homeworkassignment,assigned_at,DateTimeField,False,False,django.utils.timezone.now,,False,False,False,,,,布置时间,
HomeworkAssignment,entry_homeworkassignment,completed_at,DateTimeField,True,True,,,False,False,False,,,,完成时间,
HomeworkAssignment,entry_homeworkassignment,reviewed_at,DateTimeField,True,True,,,False,False,False,,,,评阅时间,
HomeworkAssignment,entry_homeworkassignment,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
HomeworkAssignment,entry_homeworkassignment,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkAssignment,entry_homeworkassignment,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkSummary,entry_homeworksummary,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkSummary,entry_homeworksummary,title,CharField,False,True,'',,False,False,False,,,,总结标题,
HomeworkSummary,entry_homeworksummary,summary_html,TextField,False,True,'',,False,False,False,,,,总结 HTML,
HomeworkSummary,entry_homeworksummary,created_by,ForeignKey,True,True,,,False,False,True,PortalUser,SET_NULL,created_homework_summaries,created by,
HomeworkSummary,entry_homeworksummary,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkSummary,entry_homeworksummary,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkImportJob,entry_homeworkimportjob,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkImportJob,entry_homeworkimportjob,teacher,ForeignKey,False,False,,,False,False,True,PortalUser,CASCADE,homework_import_jobs,teacher,权限隔离相关字段，查询时需带角色边界。
HomeworkImportJob,entry_homeworkimportjob,assignment,ForeignKey,True,True,,,False,False,True,HomeworkAssignment,CASCADE,import_jobs,assignment,
HomeworkImportJob,entry_homeworkimportjob,content,ForeignKey,True,True,,,False,False,True,CourseContent,SET_NULL,homework_import_jobs,content,
HomeworkImportJob,entry_homeworkimportjob,source_file,FileField,False,False,,,False,False,False,,,,源文件,敏感或文件字段，文档不包含实际内容。
HomeworkImportJob,entry_homeworkimportjob,source_filename,CharField,False,False,,,False,False,False,,,,原始文件名,
HomeworkImportJob,entry_homeworkimportjob,source_sha256,CharField,False,True,'',,False,False,False,,,,源文件内容哈希,
HomeworkImportJob,entry_homeworkimportjob,source_type,CharField,False,False,,pdf:PDF；image:图片；html:HTML；text:TXT；docx:DOCX；xlsx:XLSX,False,False,False,,,,源文件类型,
HomeworkImportJob,entry_homeworkimportjob,parse_status,CharField,False,False,'uploaded',uploaded:已上传；parsing:解析中；parsed:待确认；confirmed:已确认；failed:解析失败；cancelled:已取消,False,False,False,,,,解析状态,状态字段会影响页面展示和统计口径。
HomeworkImportJob,entry_homeworkimportjob,candidates_json,JSONField,False,True,builtins.list,,False,False,False,,,,候选题目,JSON 结构可能存在历史兼容，扩展时需保留旧字段。
HomeworkImportJob,entry_homeworkimportjob,parse_notes,TextField,False,True,,,False,False,False,,,,解析备注,
HomeworkImportJob,entry_homeworkimportjob,confirmed_at,DateTimeField,True,True,,,False,False,False,,,,确认时间,
HomeworkImportJob,entry_homeworkimportjob,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
HomeworkImportJob,entry_homeworkimportjob,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkImportJob,entry_homeworkimportjob,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkQuestion,entry_homeworkquestion,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkQuestion,entry_homeworkquestion,assignment,ForeignKey,True,True,,,False,False,True,HomeworkAssignment,CASCADE,questions,assignment,
HomeworkQuestion,entry_homeworkquestion,import_job,ForeignKey,True,True,,,False,False,True,HomeworkImportJob,SET_NULL,questions,import job,
HomeworkQuestion,entry_homeworkquestion,question_no,PositiveIntegerField,False,False,,,False,False,False,,,,题号,
HomeworkQuestion,entry_homeworkquestion,question_type,CharField,False,False,'single_choice',single_choice:单选题,False,False,False,,,,题型,
HomeworkQuestion,entry_homeworkquestion,stem,TextField,False,False,,,False,False,False,,,,题干,
HomeworkQuestion,entry_homeworkquestion,options_json,JSONField,False,True,builtins.dict,,False,False,False,,,,选项,JSON 结构可能存在历史兼容，扩展时需保留旧字段。
HomeworkQuestion,entry_homeworkquestion,correct_answer,CharField,False,False,,,False,False,False,,,,正确答案,
HomeworkQuestion,entry_homeworkquestion,analysis,TextField,False,True,,,False,False,False,,,,解析,
HomeworkQuestion,entry_homeworkquestion,source_snapshot_json,JSONField,False,True,builtins.dict,,False,False,False,,,,来源快照,JSON 结构可能存在历史兼容，扩展时需保留旧字段。
HomeworkQuestion,entry_homeworkquestion,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
HomeworkQuestion,entry_homeworkquestion,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkQuestion,entry_homeworkquestion,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkSubmission,entry_homeworksubmission,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkSubmission,entry_homeworksubmission,assignment,ForeignKey,False,False,,,False,False,True,HomeworkAssignment,CASCADE,submissions,assignment,
HomeworkSubmission,entry_homeworksubmission,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,homework_submissions,student,权限隔离相关字段，查询时需带角色边界。
HomeworkSubmission,entry_homeworksubmission,status,CharField,False,False,'in_progress',in_progress:作答中；submitted:已提交；auto_checked:已自动判分；reviewed:已复核,False,False,False,,,,提交状态,状态字段会影响页面展示和统计口径。
HomeworkSubmission,entry_homeworksubmission,total_count,PositiveIntegerField,False,False,0,,False,False,False,,,,总题数,
HomeworkSubmission,entry_homeworksubmission,correct_count,PositiveIntegerField,False,False,0,,False,False,False,,,,正确数,
HomeworkSubmission,entry_homeworksubmission,wrong_count,PositiveIntegerField,False,False,0,,False,False,False,,,,错误数,
HomeworkSubmission,entry_homeworksubmission,score,DecimalField,False,False,0,,False,False,False,,,,分数,
HomeworkSubmission,entry_homeworksubmission,started_at,DateTimeField,False,False,django.utils.timezone.now,,False,False,False,,,,开始时间,
HomeworkSubmission,entry_homeworksubmission,submitted_at,DateTimeField,True,True,,,False,False,False,,,,提交时间,
HomeworkSubmission,entry_homeworksubmission,checked_at,DateTimeField,True,True,,,False,False,False,,,,判分时间,
HomeworkSubmission,entry_homeworksubmission,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
HomeworkSubmission,entry_homeworksubmission,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkSubmission,entry_homeworksubmission,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,submission,ForeignKey,False,False,,,False,False,True,HomeworkSubmission,CASCADE,answers,submission,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,homework_question,ForeignKey,False,False,,,False,False,True,HomeworkQuestion,CASCADE,submission_answers,homework question,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,selected_answer,CharField,False,True,,,False,False,False,,,,学生答案,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,is_correct,BooleanField,False,False,False,,False,False,False,,,,是否正确,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,correct_answer_snapshot,CharField,False,False,,,False,False,False,,,,正确答案快照,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,analysis_snapshot,TextField,False,True,,,False,False,False,,,,解析快照,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkCompletionStat,entry_homeworkcompletionstat,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkCompletionStat,entry_homeworkcompletionstat,teacher,ForeignKey,False,False,,,False,False,True,PortalUser,CASCADE,homework_completion_stats,teacher,权限隔离相关字段，查询时需带角色边界。
HomeworkCompletionStat,entry_homeworkcompletionstat,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,homework_completion_stats,student,权限隔离相关字段，查询时需带角色边界。
HomeworkCompletionStat,entry_homeworkcompletionstat,period_type,CharField,False,False,,week:本周；month:本月；quarter:本季度,False,False,False,,,,周期类型,
HomeworkCompletionStat,entry_homeworkcompletionstat,period_start,DateField,False,False,,,False,False,False,,,,周期开始日期,
HomeworkCompletionStat,entry_homeworkcompletionstat,period_end,DateField,False,False,,,False,False,False,,,,周期结束日期,
HomeworkCompletionStat,entry_homeworkcompletionstat,completed_count,PositiveIntegerField,False,False,0,,False,False,False,,,,已完成数量,
HomeworkCompletionStat,entry_homeworkcompletionstat,incomplete_count,PositiveIntegerField,False,False,0,,False,False,False,,,,未完成数量,
HomeworkCompletionStat,entry_homeworkcompletionstat,excluded_undated_count,PositiveIntegerField,False,False,0,,False,False,False,,,,排除的无截止日期数量,
HomeworkCompletionStat,entry_homeworkcompletionstat,generated_at,DateTimeField,False,False,django.utils.timezone.now,,False,False,False,,,,统计生成时间,
HomeworkCompletionStat,entry_homeworkcompletionstat,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkCompletionStat,entry_homeworkcompletionstat,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,id,BigAutoField,False,True,,,True,True,False,,,,ID,
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,stat,ForeignKey,False,False,,,False,False,True,HomeworkCompletionStat,CASCADE,missing_assignments,stat,
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,assignment,ForeignKey,False,False,,,False,False,True,HomeworkAssignment,CASCADE,completion_stat_missing_links,assignment,
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,reason,CharField,False,True,'',online_missing:在线题未形成完成态提交；requirement_not_marked_completed:要求型作业未标记完成；undated:无截止日期,False,False,False,,,,未完成原因,
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
TeacherEvaluation,entry_teacherevaluation,id,BigAutoField,False,True,,,True,True,False,,,,ID,
TeacherEvaluation,entry_teacherevaluation,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,teacher_evaluations,student,权限隔离相关字段，查询时需带角色边界。
TeacherEvaluation,entry_teacherevaluation,teacher,ForeignKey,True,True,,,False,False,True,PortalUser,SET_NULL,submitted_evaluations,teacher,权限隔离相关字段，查询时需带角色边界。
TeacherEvaluation,entry_teacherevaluation,evaluation_text,TextField,False,False,,,False,False,False,,,,教师评价,
TeacherEvaluation,entry_teacherevaluation,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
RewardRecord,entry_rewardrecord,id,BigAutoField,False,True,,,True,True,False,,,,ID,
RewardRecord,entry_rewardrecord,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,reward_records,student,权限隔离相关字段，查询时需带角色边界。
RewardRecord,entry_rewardrecord,teacher,ForeignKey,True,True,,,False,False,True,PortalUser,SET_NULL,submitted_rewards,teacher,权限隔离相关字段，查询时需带角色边界。
RewardRecord,entry_rewardrecord,reward_text,CharField,False,False,,,False,False,False,,,,奖励说明,
RewardRecord,entry_rewardrecord,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
LessonHourLedger,entry_lessonhourledger,id,BigAutoField,False,True,,,True,True,False,,,,ID,
LessonHourLedger,entry_lessonhourledger,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,lesson_hour_ledgers,student,权限隔离相关字段，查询时需带角色边界。
LessonHourLedger,entry_lessonhourledger,teacher,ForeignKey,True,True,,,False,False,True,PortalUser,SET_NULL,submitted_lesson_hour_ledgers,teacher,权限隔离相关字段，查询时需带角色边界。
LessonHourLedger,entry_lessonhourledger,delta_hours,IntegerField,False,False,,,False,False,False,,,,课时变动,
LessonHourLedger,entry_lessonhourledger,note,CharField,False,True,,,False,False,False,,,,备注,
LessonHourLedger,entry_lessonhourledger,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
TeacherStudentAssignment,entry_teacherstudentassignment,id,BigAutoField,False,True,,,True,True,False,,,,ID,
TeacherStudentAssignment,entry_teacherstudentassignment,teacher,ForeignKey,False,False,,,False,False,True,PortalUser,CASCADE,student_assignments,teacher,权限隔离相关字段，查询时需带角色边界。
TeacherStudentAssignment,entry_teacherstudentassignment,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,teacher_assignments,student,权限隔离相关字段，查询时需带角色边界。
TeacherStudentAssignment,entry_teacherstudentassignment,course,ForeignKey,False,False,,,False,False,True,Course,CASCADE,teacher_student_assignments,course,
TeacherStudentAssignment,entry_teacherstudentassignment,level_code,CharField,False,False,,,False,False,False,,,,级别编码,
TeacherStudentAssignment,entry_teacherstudentassignment,is_active,BooleanField,False,False,True,,False,False,False,,,,是否生效,状态字段会影响页面展示和统计口径。
TeacherStudentAssignment,entry_teacherstudentassignment,assigned_at,DateTimeField,False,True,,,False,False,False,,,,分配时间,
TeacherStudentAssignment,entry_teacherstudentassignment,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
