功能编号,一级模块,二级功能,角色,URL,HTTP方法,View,Template,Context函数,关联模型,权限要求,输入,输出,当前状态,风险点,扩展建议
F-014,家长端作业,parent-homework-print-wrong,parent,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>/print/wrong,GET,entry.views.parent_homework_print_wrong,entry/student_homework_print.html,build_parent_homework_print_context,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-015,家长端作业,parent-homework-summary,parent,/parent/student-profile/homework/<int:assignment_id>/summary,GET,entry.views.parent_homework_summary_detail,entry/homework_summary_detail.html,build_parent_homework_summary_detail_context,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-016,校长端,principal-dashboard,principal,/principal/dashboard,GET,entry.views.principal_dashboard,entry/role_page.html,build_principal_page_shell,,principal,无显式参数,HTML,已实现,涉及学生数据权限隔离,按 校长端 现有模式扩展，并补充对应权限测试。
F-017,学生端课程与练习,student-account-settings,student,/student/account-settings,GET/POST,entry.views.student_account_settings,entry/student_account_settings.html,get_student_by_user,PortalUser,student,updated；current_password；new_username,HTML / redirect,已实现,需确认 CSRF 与表单校验,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-018,学生端课程与练习,student-courses,student,/student/courses,GET,entry.views.student_courses,entry/student_portal_page.html,,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-019,学生端课程与练习,student-cpp,student,/student/cpp,GET,entry.views.student_cpp,entry/student_portal_page.html,,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-020,学生端课程与练习,student-cpp-gesp,student,/student/cpp/gesp,GET,entry.views.student_cpp_gesp,entry/student_portal_page.html,,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-021,学生端课程与练习,student-cpp-gesp2,student,/student/cpp/gesp/gesp2,GET,entry.views.student_cpp_gesp2,entry/student_portal_page.html,,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-022,学生端课程与练习,student-cpp-gesp2-topic,student,/student/cpp/gesp/gesp2/<slug:topic_slug>,GET,entry.views.student_cpp_gesp2_topic,entry/student_portal_page.html；entry/topics/gesp2_ascii_char_encoding_page.html；entry/topics/gesp2_enumeration_page.html,,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-023,学生端课程与练习,student-cpp-gesp4,student,/student/cpp/gesp/gesp4,GET,entry.views.student_cpp_gesp4,entry/student_portal_page.html,,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-024,学生端课程与练习,student-cpp-gesp4-topic,student,/student/cpp/gesp/gesp4/<slug:topic_slug>,GET,entry.views.student_cpp_gesp4_topic,entry/student_portal_page.html；entry/topics/gesp4_array_2d_student_page.html,,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-025,学生端课程与练习,student-cpp-gesp4-array-2d,student,/student/cpp/gesp/gesp4/array-2d,GET,entry.views.student_cpp_gesp4_array_2d,,,,student,无显式参数,未在代码中确认,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-026,学生端课程与练习,student-practice,student,/student/practice,GET,entry.views.student_practice,entry/student_portal_page.html,build_student_practice_page_shell,,student,无显式参数,HTML,已实现,常规页面访问风险较低,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-027,学生端作业,student-homework-list,student,/student/practice/homework,GET,entry.views.student_homework_list,entry/student_homework_list.html,build_student_homework_list_context,,student,无显式参数,HTML,已实现,常规页面访问风险较低,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-028,学生端作业,student-homework-detail,student,/student/practice/homework/<int:assignment_id>,GET/POST,entry.views.student_homework_detail,entry/student_homework_detail.html,build_student_homework_detail_context；get_student_by_user,HomeworkAssignment,student,op；form_action,HTML / redirect,已实现,需确认 CSRF 与表单校验,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-029,学生端作业,student-homework-practice,student,/student/practice/homework/<int:assignment_id>/practice,GET/POST,entry.views.student_homework_practice,entry/student_homework_practice.html,build_student_homework_practice_context；get_student_by_user,HomeworkAssignment,student,无显式参数,HTML / redirect,已实现,需确认 CSRF 与表单校验,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-030,学生端作业,student-homework-print-blank,student,/student/practice/homework/<int:assignment_id>/print/blank,GET,entry.views.student_homework_print_blank,entry/student_homework_print.html,build_student_homework_print_context,,student,无显式参数,HTML,已实现,常规页面访问风险较低,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-031,学生端作业,student-homework-submission-detail,student,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>,GET,entry.views.student_homework_submission_detail,entry/homework_submission_detail.html,build_student_homework_submission_detail_context,,student,op,HTML,已实现,常规页面访问风险较低,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-032,学生端作业,student-homework-print,student,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>/print,GET,entry.views.student_homework_print,entry/student_homework_print.html,build_student_homework_print_context,,student,无显式参数,HTML,已实现,常规页面访问风险较低,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-033,学生端作业,student-homework-print-wrong,student,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>/print/wrong,GET,entry.views.student_homework_print_wrong,entry/student_homework_print.html,build_student_homework_print_context,,student,无显式参数,HTML,已实现,常规页面访问风险较低,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-034,学生端作业,student-homework-summary,student,/student/practice/homework/<int:assignment_id>/summary,GET,entry.views.student_homework_summary_detail,entry/homework_summary_detail.html,build_student_homework_summary_detail_context,,student,无显式参数,HTML,已实现,常规页面访问风险较低,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-035,课程结构与知识点管理,teacher-course-detail,teacher,/teacher/courses/<slug:course_slug>,GET,entry.views.teacher_course_detail,entry/teacher_course_categories.html,build_teacher_course_detail_context,,teacher,无显式参数,HTML,已实现,涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-036,课程结构与知识点管理,teacher-course-category-detail,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>,GET,entry.views.teacher_course_category_detail,entry/teacher_course_category_levels.html,build_teacher_course_category_detail_context,,teacher,无显式参数,HTML,已实现,涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-037,课程结构与知识点管理,teacher-course-category-export,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/export,GET,entry.views.teacher_course_category_export,,build_teacher_course_structure_export_payload,,teacher,无显式参数,未在代码中确认,已实现,涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-038,课程结构与知识点管理,teacher-course-level-detail,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>,GET,entry.views.teacher_course_level_detail,entry/teacher_course_level_knowledge_points.html,build_teacher_course_level_detail_context；normalize_grid_page；normalize_grid_page_size,,teacher,op；page；page_size；q,HTML,已实现,涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-039,课程结构与知识点管理,teacher-course-level-export,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/export,GET,entry.views.teacher_course_level_export,,build_teacher_course_structure_export_payload,,teacher,无显式参数,未在代码中确认,已实现,涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-040,课程结构与知识点管理,teacher-course-knowledge-point-delete,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/delete,GET/POST,entry.views.teacher_course_knowledge_point_delete,entry/teacher_course_knowledge_point_delete_confirm.html,,,teacher,无显式参数,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-041,课程结构与知识点管理,teacher-course-knowledge-point-edit,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/edit,GET/POST,entry.views.teacher_course_knowledge_point_edit,entry/teacher_course_knowledge_point_form.html,get_teacher_course_category；get_teacher_course_content；get_teacher_course_level；get_teacher_course_scope,CourseContent,teacher,has_real_content；level_id；route_path；slug；sort_order；summary；title,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-042,学生内容开放权限,teacher-course-knowledge-point-permissions,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/permissions,GET/POST,entry.views.teacher_course_knowledge_point_permissions,entry/teacher_course_knowledge_point_permissions.html,build_teacher_course_content_access_context；set_student_content_visibility,,teacher,q；saved；q；student_ids,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-043,课程结构与知识点管理,teacher-course-knowledge-point-teaching-page,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/teaching-page,GET,entry.views.teacher_course_knowledge_point_teaching_page,entry/teacher_course_workflow_placeholder.html,build_teacher_course_workflow_placeholder_context,,teacher,无显式参数,HTML / redirect,已实现,涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-044,课程结构与知识点管理,teacher-course-knowledge-point-new,teacher,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/new,GET/POST,entry.views.teacher_course_knowledge_point_new,entry/teacher_course_knowledge_point_form.html,,CourseContent,teacher,has_real_content；level_id；route_path；slug；sort_order；summary；title,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-045,课程结构与知识点管理,teacher-course-export,teacher,/teacher/courses/<slug:course_slug>/export,GET,entry.views.teacher_course_export,,build_teacher_course_structure_export_payload,,teacher,无显式参数,未在代码中确认,已实现,涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-046,学生管理,teacher-course-student-pool,teacher,/teacher/courses/<slug:course_slug>/student-pool,GET/POST,entry.views.teacher_course_student_pool,entry/teacher_course_student_pool.html,build_teacher_course_student_pool_context,TeacherStudentAssignment,teacher,created；level_code；restored；saved；single_student_saved；skipped；form_action；level_code；new_course_id；new_parent_phone；new_permission_level_code；new_primary_level_name；new_student_name；student_ids,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-047,学生管理,teacher-course-students-detail,teacher,/teacher/courses/<slug:course_slug>/students,GET/POST,entry.views.teacher_course_students_detail,entry/teacher_course_students_detail.html,build_teacher_course_students_detail_context；normalize_grid_page；normalize_grid_page_size,,teacher,open_import；page；page_size；q；form_action；student_csv_file(file)；student_import_file(file),HTML,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时优先复用 portal_context 中的课程范围与权限构建函数。
F-048,课程结构与知识点管理,teacher-cpp-gesp2-ascii-char-encoding,teacher,/teacher/courses/cpp/gesp2/ascii-char-encoding,GET,entry.views.teacher_cpp_gesp2_ascii_char_encoding,entry/topics/gesp2_ascii_char_encoding_page.html,,,teacher,无显式参数,HTML,已实现,涉及学生数据权限隔离,按 课程结构与知识点管理 现有模式扩展，并补充对应权限测试。
F-049,课程结构与知识点管理,teacher-cpp-gesp2-enumeration,teacher,/teacher/courses/cpp/gesp2/enumeration-method,GET,entry.views.teacher_cpp_gesp2_enumeration,entry/topics/gesp2_enumeration_page.html,,,teacher,无显式参数,HTML,已实现,涉及学生数据权限隔离,按 课程结构与知识点管理 现有模式扩展，并补充对应权限测试。
F-050,课程结构与知识点管理,teacher-cpp-gesp4-array-2d,teacher,/teacher/courses/cpp/gesp4/array-2d,GET,entry.views.teacher_cpp_gesp4_array_2d,entry/topics/gesp4_array_2d_page.html,,,teacher,lecture,HTML,已实现,涉及学生数据权限隔离,按 课程结构与知识点管理 现有模式扩展，并补充对应权限测试。
F-051,课程结构与知识点管理,teacher-cpp-gesp4-binary-search,teacher,/teacher/courses/cpp/gesp4/binary-search,GET,entry.views.teacher_cpp_gesp4_binary_search,entry/topics/gesp4_array_2d_page.html,,,teacher,无显式参数,HTML,已实现,涉及学生数据权限隔离,按 课程结构与知识点管理 现有模式扩展，并补充对应权限测试。
F-052,课程结构与知识点管理,teacher-cpp-gesp4-sorting,teacher,/teacher/courses/cpp/gesp4/sorting,GET,entry.views.teacher_cpp_gesp4_sorting,entry/topics/gesp4_array_2d_page.html,,,teacher,无显式参数,HTML,已实现,涉及学生数据权限隔离,按 课程结构与知识点管理 现有模式扩展，并补充对应权限测试。
F-053,课程结构与知识点管理,teacher-cpp-gesp4-strings,teacher,/teacher/courses/cpp/gesp4/strings,GET,entry.views.teacher_cpp_gesp4_strings,entry/topics/gesp4_array_2d_page.html,,,teacher,无显式参数,HTML,已实现,涉及学生数据权限隔离,按 课程结构与知识点管理 现有模式扩展，并补充对应权限测试。
F-054,Homework Stats,teacher-homework-stats,teacher,/teacher/homework-stats,GET,entry.views.teacher_homework_stats,entry/teacher_homework_stats.html,build_teacher_homework_stats_context,,teacher,anchor_date；period,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-055,其它,teacher-homework-stats-assignment-submissions,teacher,/teacher/homework-stats/assignment-submissions,GET,entry.views.teacher_homework_assignment_submission_detail,entry/teacher_homework_assignment_submission_detail.html,build_teacher_homework_assignment_submission_detail_context,HomeworkAssignment；Student,teacher,anchor_date；assignment_id；period；student_id,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-056,Homework Stats,teacher-homework-stats-lesson-feedback,teacher,/teacher/homework-stats/lesson-feedback,GET,entry.views.teacher_homework_stats_lesson_feedback,,,Student,teacher,anchor_date；period；student_id,JSON,已实现,涉及学生数据权限隔离；需统一错误码和前端兼容,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-057,Homework Stats,teacher-homework-stats-lesson-feedback-save,teacher,/teacher/homework-stats/lesson-feedback/save,POST,entry.views.teacher_homework_stats_lesson_feedback_save,,,Student,teacher,anchor_date；areas_for_growth；assignment_id；highlights；period；student_id,JSON,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离；需统一错误码和前端兼容,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-058,其它,teacher-homework-stats-student-period-assignments,teacher,/teacher/homework-stats/student-period-assignments,GET,entry.views.teacher_homework_student_period_assignment_detail,entry/teacher_homework_student_period_assignment_detail.html,build_teacher_homework_student_period_assignment_detail_context,Student,teacher,anchor_date；period；student_id,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-059,其它,teacher-homework-stats-submission-answer-detail,teacher,/teacher/homework-stats/submission-answer-detail,GET,entry.views.teacher_homework_submission_answer_detail,entry/teacher_homework_submission_answer_detail.html,build_teacher_homework_submission_answer_detail_context,HomeworkSubmission,teacher,anchor_date；period；submission_id,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-060,其它,teacher-homework-stats-submissions,teacher,/teacher/homework-stats/submissions,GET,entry.views.teacher_homework_submission_detail,entry/teacher_homework_submission_detail.html,build_teacher_homework_submission_detail_context,Student,teacher,anchor_date；student_id,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-061,作业批量创建,teacher-homework-batch-create,teacher,/teacher/homework/batch-create,GET/POST,entry.views.teacher_homework_batch_create,entry/teacher_homework_batch_create.html,build_default_batch_homework_summary_title；build_teacher_homework_batch_create_context；ensure_homework_content_access；get_teacher_batch_homework_contents,Course；HomeworkAssignment；HomeworkSummary；Student,teacher,count；course；import_job_id；mode；op；with_summary；assignment_requirement；content_id；due_date；import_job_id；student_ids；summary_areas_for_growth；summary_highlights；summary_html；summary_title；summary_html_file(file),HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-062,作业导入与在线题目,teacher-homework-import-job-preview,teacher,/teacher/homework/import-jobs/<int:import_job_id>/preview,GET,entry.views.teacher_homework_import_job_preview,,,,teacher,无显式参数,JSON,已实现,涉及学生数据权限隔离；涉及文件上传、解析任务和外部模型调用；需统一错误码和前端兼容,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-063,题库承接与作业导入,teacher-question-source-create-content,teacher,/teacher/homework/question-source/create-content,POST,entry.views.teacher_question_source_create_content,,get_teacher_course_scope；get_teacher_question_source_level_options,CourseContent；CourseLevel,teacher,course；course；level_id；title,JSON,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离；需统一错误码和前端兼容,按 题库承接与作业导入 现有模式扩展，并补充对应权限测试。
F-064,题库承接与作业导入,teacher-question-source-import,teacher,/teacher/homework/question-source/import,GET/POST,entry.views.teacher_question_source_import,entry/teacher_question_source_import.html,build_teacher_question_source_import_context,CourseContent；HomeworkImportJob,teacher,confirmed_count；content_id；course；op；candidate_count；content_id；form_action；import_job_id；source_file(file),HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离；涉及文件上传、解析任务和外部模型调用,按 题库承接与作业导入 现有模式扩展，并补充对应权限测试。
F-065,其它,teacher-question-manual-override,teacher,/teacher/questions/<int:question_id>/manual-override,POST,entry.views.teacher_question_manual_override,,,Question,teacher,is_reviewed；return_anchor；review_note；code_image(file)；options_image(file)；question_image(file),redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,按 其它 现有模式扩展，并补充对应权限测试。
F-066,教师工作台,teacher-students,teacher,/teacher/students,GET,entry.views.teacher_students,entry/role_page.html,build_teacher_page_shell,,teacher,tab,HTML,已实现,涉及学生数据权限隔离,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-067,学生管理与教学记录,teacher-student-detail,teacher,/teacher/students/<int:student_id>,GET/POST,entry.views.teacher_student_detail,entry/teacher_student_detail.html,build_default_homework_summary_title；build_teacher_student_detail_context；ensure_homework_content_access；filter_homework_assignments_by_assigned_date；get_gesp4_topic_content；get_teacher_student_homework_contents；get_teacher_student_homework_queryset；set_student_content_visibility,CourseContent；HomeworkAssignment；HomeworkSummary；LessonHourLedger；RewardRecord；TeacherEvaluation,teacher,content_restriction_saved；homework_op；summary_bound；content_id；delta_hours；description；due_date；evaluation_text；form_action；homework_id；lesson_hour_note；restricted_content_ids；reward_text；summary_areas_for_growth；summary_end_date；summary_highlights；summary_html；summary_start_date；summary_title；teacher_comment；title；topic_slugs；summary_html_file(file),HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-068,教师-学生负责关系,teacher-student-assignments,teacher,/teacher/students/<int:student_id>/assignments,GET,entry.views.teacher_student_assignments,entry/teacher_student_assignments.html,build_teacher_student_assignment_list_context,,teacher,op,HTML,已实现,涉及学生数据权限隔离,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-069,教师-学生负责关系,teacher-student-assignment-edit,teacher,/teacher/students/<int:student_id>/assignments/<int:assignment_id>/edit,GET/POST,entry.views.teacher_student_assignment_edit,entry/teacher_assignment_form.html,build_teacher_assignment_form_context,TeacherStudentAssignment,teacher,scope_key,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-070,教师-学生负责关系,teacher-student-assignment-remove,teacher,/teacher/students/<int:student_id>/assignments/<int:assignment_id>/remove,GET/POST,entry.views.teacher_student_assignment_remove,entry/teacher_assignment_remove_confirm.html,build_teacher_assignment_remove_context,,teacher,无显式参数,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-071,作业导入与在线题目,teacher-homework-builder,teacher,/teacher/students/<int:student_id>/homework/<int:assignment_id>,GET/POST,entry.views.teacher_homework_builder,entry/teacher_homework_question_builder.html,build_teacher_homework_builder_context,HomeworkAssignment；HomeworkImportJob,teacher,confirmed_count；op；candidate_count；form_action；import_job_id；source_file(file),HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离；涉及文件上传、解析任务和外部模型调用,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-072,教师-学生负责关系,teacher-assignment-new,teacher,/teacher/students/assignments/new,GET/POST,entry.views.teacher_assignment_new,entry/teacher_assignment_form.html,build_teacher_assignment_form_context,Course；Student；TeacherStudentAssignment,teacher,student_id；scope_key；student_id,HTML / redirect,已实现,需确认 CSRF 与表单校验；涉及学生数据权限隔离,按 教师-学生负责关系 现有模式扩展，并补充对应权限测试。
