接口编号,URL名称,Path,Method,返回类型,角色,AuthRequired,CSRF,View,Template,Context函数,Path参数,Query参数,Form参数,JSON Body,关联模型,成功响应,失败响应,备注
API-011,parent-homework-print-blank,/parent/student-profile/homework/<int:assignment_id>/print/blank,GET,HTML,parent,是,not required for GET,entry.views.parent_homework_print_blank,entry/student_homework_print.html,build_parent_homework_print_context,assignment_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端作业
API-012,parent-homework-submission-detail,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>,GET,HTML,parent,是,not required for GET,entry.views.parent_homework_submission_detail,entry/homework_submission_detail.html,build_parent_homework_submission_detail_context,assignment_id；submission_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端作业
API-013,parent-homework-print,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>/print,GET,HTML,parent,是,not required for GET,entry.views.parent_homework_print,entry/student_homework_print.html,build_parent_homework_print_context,assignment_id；submission_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端作业
API-014,parent-homework-print-wrong,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>/print/wrong,GET,HTML,parent,是,not required for GET,entry.views.parent_homework_print_wrong,entry/student_homework_print.html,build_parent_homework_print_context,assignment_id；submission_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端作业
API-015,parent-homework-summary,/parent/student-profile/homework/<int:assignment_id>/summary,GET,HTML,parent,是,not required for GET,entry.views.parent_homework_summary_detail,entry/homework_summary_detail.html,build_parent_homework_summary_detail_context,assignment_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端作业
API-016,principal-dashboard,/principal/dashboard,GET,HTML,principal,是,not required for GET,entry.views.principal_dashboard,entry/role_page.html,build_principal_page_shell,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,校长端
API-017,student-account-settings,/student/account-settings,GET/POST,HTML / redirect,student,是,required,entry.views.student_account_settings,entry/student_account_settings.html,get_student_by_user,,updated,current_password；new_username,,PortalUser,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-018,student-courses,/student/courses,GET,HTML,student,是,not required for GET,entry.views.student_courses,entry/student_portal_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-019,student-cpp,/student/cpp,GET,HTML,student,是,not required for GET,entry.views.student_cpp,entry/student_portal_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-020,student-cpp-gesp,/student/cpp/gesp,GET,HTML,student,是,not required for GET,entry.views.student_cpp_gesp,entry/student_portal_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-021,student-cpp-gesp2,/student/cpp/gesp/gesp2,GET,HTML,student,是,not required for GET,entry.views.student_cpp_gesp2,entry/student_portal_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-022,student-cpp-gesp2-topic,/student/cpp/gesp/gesp2/<slug:topic_slug>,GET,HTML,student,是,not required for GET,entry.views.student_cpp_gesp2_topic,entry/student_portal_page.html；entry/topics/gesp2_ascii_char_encoding_page.html；entry/topics/gesp2_enumeration_page.html,,topic_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-023,student-cpp-gesp4,/student/cpp/gesp/gesp4,GET,HTML,student,是,not required for GET,entry.views.student_cpp_gesp4,entry/student_portal_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-024,student-cpp-gesp4-topic,/student/cpp/gesp/gesp4/<slug:topic_slug>,GET,HTML,student,是,not required for GET,entry.views.student_cpp_gesp4_topic,entry/student_portal_page.html；entry/topics/gesp4_array_2d_student_page.html,,topic_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-025,student-cpp-gesp4-array-2d,/student/cpp/gesp/gesp4/array-2d,GET,未在代码中确认,student,是,not required for GET,entry.views.student_cpp_gesp4_array_2d,,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-026,student-practice,/student/practice,GET,HTML,student,是,not required for GET,entry.views.student_practice,entry/student_portal_page.html,build_student_practice_page_shell,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端课程与练习
API-027,student-homework-list,/student/practice/homework,GET,HTML,student,是,not required for GET,entry.views.student_homework_list,entry/student_homework_list.html,build_student_homework_list_context,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-028,student-homework-detail,/student/practice/homework/<int:assignment_id>,GET/POST,HTML / redirect,student,是,required,entry.views.student_homework_detail,entry/student_homework_detail.html,build_student_homework_detail_context；get_student_by_user,assignment_id,op,form_action,,HomeworkAssignment,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-029,student-homework-practice,/student/practice/homework/<int:assignment_id>/practice,GET/POST,HTML / redirect,student,是,required,entry.views.student_homework_practice,entry/student_homework_practice.html,build_student_homework_practice_context；get_student_by_user,assignment_id,,,,HomeworkAssignment,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-030,student-homework-print-blank,/student/practice/homework/<int:assignment_id>/print/blank,GET,HTML,student,是,not required for GET,entry.views.student_homework_print_blank,entry/student_homework_print.html,build_student_homework_print_context,assignment_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-031,student-homework-submission-detail,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>,GET,HTML,student,是,not required for GET,entry.views.student_homework_submission_detail,entry/homework_submission_detail.html,build_student_homework_submission_detail_context,assignment_id；submission_id,op,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-032,student-homework-print,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>/print,GET,HTML,student,是,not required for GET,entry.views.student_homework_print,entry/student_homework_print.html,build_student_homework_print_context,assignment_id；submission_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-033,student-homework-print-wrong,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>/print/wrong,GET,HTML,student,是,not required for GET,entry.views.student_homework_print_wrong,entry/student_homework_print.html,build_student_homework_print_context,assignment_id；submission_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-034,student-homework-summary,/student/practice/homework/<int:assignment_id>/summary,GET,HTML,student,是,not required for GET,entry.views.student_homework_summary_detail,entry/homework_summary_detail.html,build_student_homework_summary_detail_context,assignment_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生端作业
API-035,teacher-course-detail,/teacher/courses/<slug:course_slug>,GET,HTML,teacher,是,not required for GET,entry.views.teacher_course_detail,entry/teacher_course_categories.html,build_teacher_course_detail_context,course_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-036,teacher-course-category-detail,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>,GET,HTML,teacher,是,not required for GET,entry.views.teacher_course_category_detail,entry/teacher_course_category_levels.html,build_teacher_course_category_detail_context,course_slug；category_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-037,teacher-course-category-export,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/export,GET,未在代码中确认,teacher,是,not required for GET,entry.views.teacher_course_category_export,,build_teacher_course_structure_export_payload,course_slug；category_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-038,teacher-course-level-detail,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>,GET,HTML,teacher,是,not required for GET,entry.views.teacher_course_level_detail,entry/teacher_course_level_knowledge_points.html,build_teacher_course_level_detail_context；normalize_grid_page；normalize_grid_page_size,course_slug；category_slug；level_code,op；page；page_size；q,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-039,teacher-course-level-export,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/export,GET,未在代码中确认,teacher,是,not required for GET,entry.views.teacher_course_level_export,,build_teacher_course_structure_export_payload,course_slug；category_slug；level_code,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-040,teacher-course-knowledge-point-delete,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/delete,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_course_knowledge_point_delete,entry/teacher_course_knowledge_point_delete_confirm.html,,course_slug；category_slug；level_code；content_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-041,teacher-course-knowledge-point-edit,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/edit,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_course_knowledge_point_edit,entry/teacher_course_knowledge_point_form.html,get_teacher_course_category；get_teacher_course_content；get_teacher_course_level；get_teacher_course_scope,course_slug；category_slug；level_code；content_slug,,has_real_content；level_id；route_path；slug；sort_order；summary；title,,CourseContent,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-042,teacher-course-knowledge-point-permissions,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/permissions,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_course_knowledge_point_permissions,entry/teacher_course_knowledge_point_permissions.html,build_teacher_course_content_access_context；set_student_content_visibility,course_slug；category_slug；level_code；content_slug,q；saved,q；student_ids,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生内容开放权限
API-043,teacher-course-knowledge-point-teaching-page,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/teaching-page,GET,HTML / redirect,teacher,是,not required for GET,entry.views.teacher_course_knowledge_point_teaching_page,entry/teacher_course_workflow_placeholder.html,build_teacher_course_workflow_placeholder_context,course_slug；category_slug；level_code；content_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-044,teacher-course-knowledge-point-new,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/new,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_course_knowledge_point_new,entry/teacher_course_knowledge_point_form.html,,course_slug；category_slug；level_code,,has_real_content；level_id；route_path；slug；sort_order；summary；title,,CourseContent,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-045,teacher-course-export,/teacher/courses/<slug:course_slug>/export,GET,未在代码中确认,teacher,是,not required for GET,entry.views.teacher_course_export,,build_teacher_course_structure_export_payload,course_slug,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-046,teacher-course-student-pool,/teacher/courses/<slug:course_slug>/student-pool,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_course_student_pool,entry/teacher_course_student_pool.html,build_teacher_course_student_pool_context,course_slug,created；level_code；restored；saved；single_student_saved；skipped,form_action；level_code；new_course_id；new_parent_phone；new_permission_level_code；new_primary_level_name；new_student_name；student_ids,,TeacherStudentAssignment,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生管理
API-047,teacher-course-students-detail,/teacher/courses/<slug:course_slug>/students,GET/POST,HTML,teacher,是,required,entry.views.teacher_course_students_detail,entry/teacher_course_students_detail.html,build_teacher_course_students_detail_context；normalize_grid_page；normalize_grid_page_size,course_slug,open_import；page；page_size；q,form_action；student_csv_file(file)；student_import_file(file),,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生管理
API-048,teacher-cpp-gesp2-ascii-char-encoding,/teacher/courses/cpp/gesp2/ascii-char-encoding,GET,HTML,teacher,是,not required for GET,entry.views.teacher_cpp_gesp2_ascii_char_encoding,entry/topics/gesp2_ascii_char_encoding_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-049,teacher-cpp-gesp2-enumeration,/teacher/courses/cpp/gesp2/enumeration-method,GET,HTML,teacher,是,not required for GET,entry.views.teacher_cpp_gesp2_enumeration,entry/topics/gesp2_enumeration_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-050,teacher-cpp-gesp4-array-2d,/teacher/courses/cpp/gesp4/array-2d,GET,HTML,teacher,是,not required for GET,entry.views.teacher_cpp_gesp4_array_2d,entry/topics/gesp4_array_2d_page.html,,,lecture,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-051,teacher-cpp-gesp4-binary-search,/teacher/courses/cpp/gesp4/binary-search,GET,HTML,teacher,是,not required for GET,entry.views.teacher_cpp_gesp4_binary_search,entry/topics/gesp4_array_2d_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-052,teacher-cpp-gesp4-sorting,/teacher/courses/cpp/gesp4/sorting,GET,HTML,teacher,是,not required for GET,entry.views.teacher_cpp_gesp4_sorting,entry/topics/gesp4_array_2d_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-053,teacher-cpp-gesp4-strings,/teacher/courses/cpp/gesp4/strings,GET,HTML,teacher,是,not required for GET,entry.views.teacher_cpp_gesp4_strings,entry/topics/gesp4_array_2d_page.html,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,课程结构与知识点管理
API-054,teacher-homework-stats,/teacher/homework-stats,GET,HTML,teacher,是,not required for GET,entry.views.teacher_homework_stats,entry/teacher_homework_stats.html,build_teacher_homework_stats_context,,anchor_date；period,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,Homework Stats
API-055,teacher-homework-stats-assignment-submissions,/teacher/homework-stats/assignment-submissions,GET,HTML,teacher,是,not required for GET,entry.views.teacher_homework_assignment_submission_detail,entry/teacher_homework_assignment_submission_detail.html,build_teacher_homework_assignment_submission_detail_context,,anchor_date；assignment_id；period；student_id,,,HomeworkAssignment；Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,其它
API-056,teacher-homework-stats-lesson-feedback,/teacher/homework-stats/lesson-feedback,GET,JSON,teacher,是,not required for GET,entry.views.teacher_homework_stats_lesson_feedback,,,,anchor_date；period；student_id,,,Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,Homework Stats
API-057,teacher-homework-stats-lesson-feedback-save,/teacher/homework-stats/lesson-feedback/save,POST,JSON,teacher,是,required,entry.views.teacher_homework_stats_lesson_feedback_save,,,,,anchor_date；areas_for_growth；assignment_id；highlights；period；student_id,,Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,Homework Stats
API-058,teacher-homework-stats-student-period-assignments,/teacher/homework-stats/student-period-assignments,GET,HTML,teacher,是,not required for GET,entry.views.teacher_homework_student_period_assignment_detail,entry/teacher_homework_student_period_assignment_detail.html,build_teacher_homework_student_period_assignment_detail_context,,anchor_date；period；student_id,,,Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,其它
API-059,teacher-homework-stats-submission-answer-detail,/teacher/homework-stats/submission-answer-detail,GET,HTML,teacher,是,not required for GET,entry.views.teacher_homework_submission_answer_detail,entry/teacher_homework_submission_answer_detail.html,build_teacher_homework_submission_answer_detail_context,,anchor_date；period；submission_id,,,HomeworkSubmission,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,其它
API-060,teacher-homework-stats-submissions,/teacher/homework-stats/submissions,GET,HTML,teacher,是,not required for GET,entry.views.teacher_homework_submission_detail,entry/teacher_homework_submission_detail.html,build_teacher_homework_submission_detail_context,,anchor_date；student_id,,,Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,其它
API-061,teacher-homework-batch-create,/teacher/homework/batch-create,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_homework_batch_create,entry/teacher_homework_batch_create.html,build_default_batch_homework_summary_title；build_teacher_homework_batch_create_context；ensure_homework_content_access；get_teacher_batch_homework_contents,,count；course；import_job_id；mode；op；with_summary,assignment_requirement；content_id；due_date；import_job_id；student_ids；summary_areas_for_growth；summary_highlights；summary_html；summary_title；summary_html_file(file),,Course；HomeworkAssignment；HomeworkSummary；Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,作业批量创建
API-062,teacher-homework-import-job-preview,/teacher/homework/import-jobs/<int:import_job_id>/preview,GET,JSON,teacher,是,not required for GET,entry.views.teacher_homework_import_job_preview,,,import_job_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,作业导入与在线题目
API-063,teacher-question-source-create-content,/teacher/homework/question-source/create-content,POST,JSON,teacher,是,required,entry.views.teacher_question_source_create_content,,get_teacher_course_scope；get_teacher_question_source_level_options,,course,course；level_id；title,,CourseContent；CourseLevel,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,题库承接与作业导入
API-064,teacher-question-source-import,/teacher/homework/question-source/import,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_question_source_import,entry/teacher_question_source_import.html,build_teacher_question_source_import_context,,confirmed_count；content_id；course；op,candidate_count；content_id；form_action；import_job_id；source_file(file),,CourseContent；HomeworkImportJob,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,题库承接与作业导入
API-065,teacher-question-manual-override,/teacher/questions/<int:question_id>/manual-override,POST,redirect,teacher,是,required,entry.views.teacher_question_manual_override,,,question_id,,is_reviewed；return_anchor；review_note；code_image(file)；options_image(file)；question_image(file),,Question,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,其它
API-066,teacher-students,/teacher/students,GET,HTML,teacher,是,not required for GET,entry.views.teacher_students,entry/role_page.html,build_teacher_page_shell,,tab,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,教师工作台
API-067,teacher-student-detail,/teacher/students/<int:student_id>,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_student_detail,entry/teacher_student_detail.html,build_default_homework_summary_title；build_teacher_student_detail_context；ensure_homework_content_access；filter_homework_assignments_by_assigned_date；get_gesp4_topic_content；get_teacher_student_homework_contents；get_teacher_student_homework_queryset；set_student_content_visibility,student_id,content_restriction_saved；homework_op；summary_bound,content_id；delta_hours；description；due_date；evaluation_text；form_action；homework_id；lesson_hour_note；restricted_content_ids；reward_text；summary_areas_for_growth；summary_end_date；summary_highlights；summary_html；summary_start_date；summary_title；teacher_comment；title；topic_slugs；summary_html_file(file),,CourseContent；HomeworkAssignment；HomeworkSummary；LessonHourLedger；RewardRecord；TeacherEvaluation,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,学生管理与教学记录
API-068,teacher-student-assignments,/teacher/students/<int:student_id>/assignments,GET,HTML,teacher,是,not required for GET,entry.views.teacher_student_assignments,entry/teacher_student_assignments.html,build_teacher_student_assignment_list_context,student_id,op,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,教师-学生负责关系
API-069,teacher-student-assignment-edit,/teacher/students/<int:student_id>/assignments/<int:assignment_id>/edit,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_student_assignment_edit,entry/teacher_assignment_form.html,build_teacher_assignment_form_context,student_id；assignment_id,,scope_key,,TeacherStudentAssignment,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,教师-学生负责关系
API-070,teacher-student-assignment-remove,/teacher/students/<int:student_id>/assignments/<int:assignment_id>/remove,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_student_assignment_remove,entry/teacher_assignment_remove_confirm.html,build_teacher_assignment_remove_context,student_id；assignment_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,教师-学生负责关系
API-071,teacher-homework-builder,/teacher/students/<int:student_id>/homework/<int:assignment_id>,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_homework_builder,entry/teacher_homework_question_builder.html,build_teacher_homework_builder_context,student_id；assignment_id,confirmed_count；op,candidate_count；form_action；import_job_id；source_file(file),,HomeworkAssignment；HomeworkImportJob,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,作业导入与在线题目
API-072,teacher-assignment-new,/teacher/students/assignments/new,GET/POST,HTML / redirect,teacher,是,required,entry.views.teacher_assignment_new,entry/teacher_assignment_form.html,build_teacher_assignment_form_context,,student_id,scope_key；student_id,,Course；Student；TeacherStudentAssignment,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,教师-学生负责关系
